snapshot_date,keyword,total_results,brand_best_rank,brand_course,brand_in_top_n,brand_in_scan,top_n,scanned
2026-05-30,Social Media Marketing,4673,30,Content Marketing & Social Media Marketing,0,19,20,500
2026-05-30,Performance Marketing,2714,50,Performance Marketing im Online Marketing,0,14,20,500
2026-05-30,Affiliate Marketing,509,227,Online Marketing Manager Weiterbildung,0,2,20,500
2026-05-30,E-Commerce,2423,28,Projektmanagement E-Commerce,0,19,20,500
2026-05-30,E-Commerce Manager,714,4,E-Commerce Manager,1,22,20,500
2026-05-30,Marketing Manager,3851,17,Content Marketing Manager,1,12,20,500
2026-05-30,Marketing Automation,487,24,E-Commerce Marketing Automation,0,19,20,487
2026-05-30,Google Ads,1106,83,Online Marketing mit Google Ads,0,12,20,500
2026-05-30,Online Advertising,838,2,Online Advertising im Online Marketing,1,33,20,500
2026-05-30,Webanalyse,254,14,Webanalyse & Social Media Marketing,3,14,20,254
2026-05-30,Digital Strategy,128,3,Global Digital Strategy & Online Marketing Management,1,2,20,128
2026-05-31,Online Marketing,6435,2,Online Advertising im Online Marketing,2,34,20,500
2026-05-31,Online Marketing Manager,2186,6,Online Marketing Manager,1,15,20,500
2026-05-31,Online Marketing Strategie,4082,4,Online Marketing Strategie,1,26,20,500
2026-05-31,Search Engine Marketing,269,18,Search Engine Marketing Expert,1,1,20,269
2026-05-31,SEA,1561,305,Online Marketing für Einsteiger,0,7,20,500
2026-05-31,SEO,3911,283,Online Marketing mit SEO,0,4,20,500
2026-05-31,Suchmaschinenoptimierung,1774,239,Online Marketing mit SEO,0,13,20,500
2026-05-31,Suchmaschinenmarketing,951,305,Online Marketing Starter Kurs,0,2,20,500
2026-05-31,Content Marketing,4890,23,Content Marketing,0,11,20,500
2026-05-31,Digital Marketing,7127,226,Digital Marketing Manager,0,6,20,500
2026-05-31,Digitales Marketing,7127,226,Digital Marketing Manager,0,6,20,500
2026-05-31,Social Media Marketing,4673,33,Content Marketing & Social Media Marketing,0,19,20,500
2026-05-31,Performance Marketing,2714,47,Performance Marketing im Online Marketing,0,15,20,500
2026-05-31,Affiliate Marketing,509,231,Online Marketing Manager Weiterbildung,0,2,20,500
2026-05-31,E-Commerce,2423,25,E-Commerce Manager,0,19,20,500
2026-05-31,E-Commerce Manager,714,4,E-Commerce Manager,1,21,20,500
2026-05-31,Marketing Manager,3851,18,Content Marketing Manager,1,12,20,500
2026-05-31,Marketing Automation,487,32,E-Commerce Marketing Automation,0,19,20,487
2026-05-31,Google Ads,1106,82,Online Marketing mit Google Ads,0,11,20,500
2026-05-31,Online Advertising,838,2,Online Advertising im Online Marketing,1,33,20,500
2026-05-31,Webanalyse,254,14,Webanalyse & Social Media Marketing,3,14,20,254
2026-05-31,Digital Strategy,128,3,Global Digital Strategy & Online Marketing Management,1,2,20,128
2026-06-02,Online Marketing,6536,2,Online Advertising im Online Marketing,2,40,20,500
2026-06-02,Online Marketing Manager,2208,4,Online Marketing Manager,1,21,20,500
2026-06-02,Online Marketing Strategie,4107,3,Online Marketing Strategie,1,29,20,500
2026-06-02,Search Engine Marketing,265,16,Search Engine Marketing Expert,1,1,20,265
2026-06-02,SEA,1577,287,Google Ads im Marketing,0,8,20,500
2026-06-02,SEO,3882,243,"SEO, SEM & Web Analytics",0,5,20,500
2026-06-02,Suchmaschinenoptimierung,1776,234,KI im Inbound Marketing,0,21,20,500
2026-06-02,Suchmaschinenmarketing,962,316,Online Marketing Starter Kurs,0,2,20,500
2026-06-02,Content Marketing,5003,4,Content Marketing,1,9,20,500
2026-06-02,Digital Marketing,7128,32,Digitales Marketing,0,8,20,500
2026-06-02,Digitales Marketing,7128,32,Digitales Marketing,0,8,20,500
2026-06-02,Social Media Marketing,4733,30,Content Marketing & Social Media Marketing,0,19,20,500
2026-06-02,Performance Marketing,2813,31,Performance Marketing im Online Marketing,0,16,20,500
2026-06-02,Affiliate Marketing,513,235,Online Marketing Manager Weiterbildung,0,2,20,500
2026-06-02,E-Commerce,2462,36,E-Commerce Manager,0,21,20,500
2026-06-02,E-Commerce Manager,730,6,E-Commerce Manager,1,26,20,500
2026-06-02,Marketing Manager,3871,23,Content Marketing Manager,0,15,20,500
2026-06-02,Marketing Automation,505,30,E-Commerce Marketing Automation,0,22,20,500
2026-06-02,Google Ads,1101,80,Online Marketing mit Google Ads,0,15,20,500
2026-06-02,Online Advertising,839,2,Online Advertising im Online Marketing,1,37,20,500
2026-06-02,Webanalyse,266,13,Webanalyse & Social Media Marketing,3,16,20,266
2026-06-02,Digital Strategy,129,3,Global Digital Strategy & Online Marketing Management,1,2,20,129
2026-06-03,Online Marketing,6502,2,Online Advertising im Online Marketing,3,38,20,500
2026-06-03,Online Marketing Manager,2201,5,Online Marketing Manager,1,21,20,500
2026-06-03,Online Marketing Strategie,4092,4,Online Marketing Strategie,1,31,20,500
2026-06-03,Search Engine Marketing,264,17,Search Engine Marketing Expert,1,1,20,264
2026-06-03,SEA,1572,286,Google Ads im Marketing,0,8,20,500
2026-06-03,SEO,3864,279,"SEO, SEM & Web Analytics",0,5,20,500
2026-06-03,Suchmaschinenoptimierung,1771,241,KI im Inbound Marketing,0,18,20,500
2026-06-03,Suchmaschinenmarketing,961,319,Online Marketing Starter Kurs,0,1,20,500
2026-06-03,Content Marketing,4970,5,Content Marketing,1,9,20,500
2026-06-03,Digital Marketing,7042,28,Digitales Marketing,0,5,20,500
2026-06-03,Digitales Marketing,7042,28,Digitales Marketing,0,5,20,500
2026-06-03,Social Media Marketing,4711,25,Content Marketing & Social Media Marketing,0,19,20,500
2026-06-03,Performance Marketing,2744,21,Performance Marketing im Online Marketing,0,19,20,500
2026-06-03,Affiliate Marketing,513,244,Online Marketing Manager Weiterbildung,0,2,20,500
2026-06-03,E-Commerce,2454,34,E-Commerce Manager,0,21,20,500
2026-06-03,E-Commerce Manager,729,8,E-Commerce Manager,1,26,20,500
2026-06-03,Marketing Manager,3835,28,Content Marketing Manager,0,15,20,500
2026-06-03,Marketing Automation,493,30,E-Commerce Marketing Automation,0,20,20,493
2026-06-03,Google Ads,1095,85,Online Marketing mit Google Ads,0,15,20,500
2026-06-03,Online Advertising,836,2,Online Advertising im Online Marketing,1,35,20,500
2026-06-03,Webanalyse,267,13,Webanalyse & Social Media Marketing,3,16,20,267
2026-06-03,Digital Strategy,125,,,0,0,20,125
2026-06-04,Online Marketing,6501,1,Online Advertising im Online Marketing,3,38,20,500
2026-06-04,Online Marketing Manager,2201,7,Online Marketing Manager,1,21,20,500
2026-06-04,Online Marketing Strategie,4092,4,Online Marketing Strategie,1,31,20,500
2026-06-04,Online Marketing Grundlagen,4631,7,Online Marketing Analyst,7,49,20,500
2026-06-04,Digital Marketing,7040,29,Digitales Marketing,0,5,20,500
2026-06-04,Digitales Marketing,7040,29,Digitales Marketing,0,5,20,500
2026-06-04,Marketing Manager,3835,23,Content Marketing Manager,0,15,20,500
2026-06-04,Marketing Weiterbildung,9025,1,Inbound Marketing Weiterbildung,6,19,20,500
2026-06-04,SEO,3868,278,"SEO, SEM & Web Analytics",0,5,20,500
2026-06-04,SEA,1572,298,Google Ads im Marketing,0,8,20,500
2026-06-04,Suchmaschinenoptimierung,1774,237,Online Marketing mit SEO,0,19,20,500
2026-06-04,Suchmaschinenmarketing,961,337,Online Marketing Starter Kurs,0,2,20,500
2026-06-04,Search Engine Marketing,264,18,Search Engine Marketing Expert,1,1,20,264
2026-06-04,Google Ads,1095,81,Online Marketing mit Google Ads,0,14,20,500
2026-06-04,Online Advertising,836,2,Online Advertising im Online Marketing,1,35,20,500
2026-06-04,Social Media Marketing,4711,26,Content Marketing & Social Media Marketing,0,19,20,500
2026-06-04,Social Media Manager,1642,47,Social Media Manager,0,18,20,500
2026-06-04,Content Marketing,4970,10,Content Marketing,1,8,20,500
2026-06-04,Influencer Marketing,825,332,Social Media Relationship Experte,0,3,20,500
2026-06-04,Instagram Marketing,857,32,Content Marketing & Social Media Marketing,0,26,20,500
2026-06-04,Performance Marketing,2744,22,Performance Marketing im Online Marketing,0,17,20,500
2026-06-04,Affiliate Marketing,513,235,Online Marketing Manager Weiterbildung,0,2,20,500
2026-06-04,Marketing Automation,493,32,E-Commerce Marketing Automation,0,20,20,493
2026-06-04,E-Mail Marketing,1677,8,E-Mail-Werbung im Online Marketing,1,21,20,500
2026-06-04,Conversion Optimierung,1393,130,"KI im Performance Marketing: Ads, Targeting & Optimierung",0,11,20,500
2026-06-04,E-Commerce,2454,38,E-Commerce Grundlagen,0,21,20,500
2026-06-04,E-Commerce Manager,729,8,E-Commerce Manager,1,26,20,500
2026-06-04,E-Commerce Marketing,1835,14,E-Commerce Marketing Automation,3,56,20,500
2026-06-04,Amazon Marketing,88,57,E-Commerce Shops und Online Plattformen,0,7,20,88
2026-06-04,KI im Online Marketing,2052,2,KI im Online Marketing,4,53,20,500
2026-06-04,KI Marketing,3644,36,KI im Online Marketing,0,30,20,500
2026-06-04,AI Marketing,850,22,AI-Tools im Online Marketing,0,18,20,500
2026-06-04,KI Manager,5260,15,KI-Manager:in,1,12,20,500
2026-06-04,Webanalyse,267,13,Webanalyse & Social Media Marketing,3,16,20,267
2026-06-04,Digital Strategy,126,,,0,0,20,126
2026-06-04,Google Analytics,1062,48,Social Media Performance messen mit KI & Google Analytics,0,10,20,500
2026-06-04,Datenanalyse,7059,,,0,0,20,500
2026-06-05,Online Marketing,6596,2,Online Advertising im Online Marketing,2,37,20,500
2026-06-05,Online Marketing Manager,2235,5,Online Marketing Manager,1,21,20,500
2026-06-05,Online Marketing Strategie,4168,4,Online Marketing Strategie,1,30,20,500
2026-06-05,Online Marketing Grundlagen,4695,7,Online Marketing Analyst,7,49,20,500
2026-06-05,Digital Marketing,7223,27,Digitales Marketing,0,6,20,500
2026-06-05,Digitales Marketing,7223,27,Digitales Marketing,0,6,20,500
2026-06-05,Marketing Manager,3986,21,Content Marketing Manager,0,15,20,500
2026-06-05,Marketing Weiterbildung,9361,1,Inbound Marketing Weiterbildung,6,17,20,500
2026-06-05,SEO,4007,261,"SEO, SEM & Web Analytics",0,5,20,500
2026-06-05,SEA,1577,285,Google Ads im Marketing,0,8,20,500
2026-06-05,Suchmaschinenoptimierung,1782,235,Online Marketing mit SEO,0,18,20,500
2026-06-05,Suchmaschinenmarketing,966,320,Online Marketing Starter Kurs,0,2,20,500
2026-06-05,Search Engine Marketing,265,17,Search Engine Marketing Expert,1,1,20,265
2026-06-05,Google Ads,1118,77,Online Marketing mit Google Ads,0,15,20,500
2026-06-05,Online Advertising,845,2,Online Advertising im Online Marketing,1,35,20,500
2026-06-05,Social Media Marketing,4847,24,Content Marketing & Social Media Marketing,0,19,20,500
2026-06-05,Social Media Manager,1693,47,Social Media Manager,0,17,20,500
2026-06-05,Content Marketing,5250,7,Content Marketing,1,9,20,500
2026-06-05,Influencer Marketing,831,308,Social Media Relationship Experte,0,3,20,500
2026-06-05,Instagram Marketing,898,32,Content Marketing & Social Media Marketing,0,26,20,500
2026-06-05,Performance Marketing,2986,25,Performance Marketing im Online Marketing,0,17,20,500
2026-06-05,Affiliate Marketing,514,236,Online Marketing Manager Weiterbildung,0,2,20,500
2026-06-05,Marketing Automation,524,29,E-Commerce Marketing Automation,0,20,20,500
2026-06-05,E-Mail Marketing,1697,7,E-Mail-Werbung im Online Marketing,1,21,20,500
2026-06-05,Conversion Optimierung,1503,136,"KI im Performance Marketing: Ads, Targeting & Optimierung",0,11,20,500
2026-06-05,E-Commerce,2471,29,Projektmanagement E-Commerce,0,21,20,500
2026-06-05,E-Commerce Manager,730,6,E-Commerce Manager,1,26,20,500
2026-06-05,E-Commerce Marketing,1842,13,E-Commerce Marketing Automation,4,56,20,500
2026-06-05,Amazon Marketing,89,56,E-Commerce Shops und Online Plattformen,0,7,20,89
2026-06-05,KI im Online Marketing,2134,2,KI im Online Marketing,4,53,20,500
2026-06-05,KI Marketing,4066,35,KI im Online Marketing,0,30,20,500
2026-06-05,AI Marketing,932,19,Online Marketing mit AI Weiterbildung,1,18,20,500
2026-06-05,KI Manager,5672,18,KI-Manager:in,1,12,20,500
2026-06-05,Webanalyse,268,13,Webanalyse & Social Media Marketing,3,16,20,268
2026-06-05,Digital Strategy,216,,,0,0,20,216
2026-06-05,Google Analytics,1074,48,Social Media Performance messen mit KI & Google Analytics,0,10,20,500
2026-06-05,Datenanalyse,7327,,,0,0,20,500
2026-06-06,Online Marketing,6596,2,Online Advertising im Online Marketing,3,38,20,500
2026-06-06,Online Marketing Manager,2235,5,Online Marketing Manager,1,21,20,500
2026-06-06,Online Marketing Strategie,4168,4,Online Marketing Strategie,1,30,20,500
2026-06-06,Online Marketing Grundlagen,4695,5,Online Marketing Analyst,7,49,20,500
2026-06-06,Digital Marketing,7223,29,Digitales Marketing,0,5,20,500
2026-06-06,Digitales Marketing,7223,29,Digitales Marketing,0,5,20,500
2026-06-06,Marketing Manager,3986,33,Content Marketing Manager,0,15,20,500
2026-06-06,Marketing Weiterbildung,9361,1,Inbound Marketing Weiterbildung,6,17,20,500
2026-06-06,SEO,4007,250,"SEO, SEM & Web Analytics",0,5,20,500
2026-06-06,SEA,1577,299,Google Ads im Marketing,0,8,20,500
2026-06-06,Suchmaschinenoptimierung,1782,231,KI im Inbound Marketing,0,17,20,500
2026-06-06,Suchmaschinenmarketing,966,306,Online Marketing Starter Kurs,0,2,20,500
2026-06-06,Search Engine Marketing,265,16,Search Engine Marketing Expert,1,1,20,265
2026-06-06,Google Ads,1118,85,Online Marketing mit Google Ads,0,14,20,500
2026-06-06,Online Advertising,845,2,Online Advertising im Online Marketing,1,35,20,500
2026-06-06,Social Media Marketing,4847,26,Content Marketing & Social Media Marketing,0,19,20,500
2026-06-06,Social Media Manager,1693,44,Social Media Manager,0,17,20,500
2026-06-06,Content Marketing,5250,3,Content Marketing,1,8,20,500
2026-06-06,Influencer Marketing,831,332,Social Media Relationship Experte,0,3,20,500
2026-06-06,Instagram Marketing,898,32,Content Marketing & Social Media Marketing,0,26,20,500
2026-06-06,Performance Marketing,2986,19,Performance Marketing im Online Marketing,1,16,20,500
2026-06-06,Affiliate Marketing,514,239,Online Marketing Manager Weiterbildung,0,2,20,500
2026-06-06,Marketing Automation,524,34,E-Commerce Marketing Automation,0,20,20,500
2026-06-06,E-Mail Marketing,1697,7,E-Mail-Werbung im Online Marketing,1,21,20,500
2026-06-06,Conversion Optimierung,1503,137,"KI im Performance Marketing: Ads, Targeting & Optimierung",0,10,20,500
2026-06-06,E-Commerce,2471,33,E-Commerce Manager,0,21,20,500
2026-06-06,E-Commerce Manager,730,6,E-Commerce Manager,1,26,20,500
2026-06-06,E-Commerce Marketing,1842,15,E-Commerce Marketing Automation,3,56,20,500
2026-06-06,Amazon Marketing,89,56,E-Commerce Shops und Online Plattformen,0,7,20,89
2026-06-06,KI im Online Marketing,2134,1,KI im Online Marketing,4,53,20,500
2026-06-06,KI Marketing,4066,41,KI im Online Marketing,0,29,20,500
2026-06-06,AI Marketing,932,21,Online Marketing mit AI Weiterbildung,0,18,20,500
2026-06-06,KI Manager,5672,3,KI-Manager:in,1,12,20,500
2026-06-06,Webanalyse,268,12,Webanalyse & Social Media Marketing,3,16,20,268
2026-06-06,Digital Strategy,216,,,0,0,20,216
2026-06-06,Google Analytics,1074,49,Social Media Performance messen mit KI & Google Analytics,0,11,20,500
2026-06-06,Datenanalyse,7327,,,0,0,20,500
